date,ncep_dswr,ncep_lftx,ncep_p__f,ncep_p__u,ncep_p__v,ncep_p__z,ncep_p_th,ncep_p_zh,ncep_p5_f,ncep_p5_z,ncep_p5th,ncep_p5zh,ncep_p8_f,ncep_p8_z,ncep_p8th,ncep_p8zh,ncep_pottmp,ncep_pr_wtr,ncep_prec,ncep_shum,Temp,temp500,temp700,temp850,temp925,dlwrf,mslp,P300,P500,P850,R500,R850,rhum,shum300,shum400,shum500,shum700,shum850,shum925,Tas,U500,U700,U850,U925,Uas,ulwrf,V500,V700,V850,V925,Vas,uswrf,dswrf,rainfall,clazz
11/1/1964,-0.362,-0.412,1.491,-1.479,-0.677,0.7,257.214,0.924,0.924,0.072,67.522,-0.207,0.858,0.032,265.649,0.33,0.205,0.206,7.967,0.119,294.849975585938,266.410003662109,281.900024414062,287,291.210021972656,383.300048828125,101430,9668,5848,1525,53.510009765625,89.760009765625,89.5099945068359,0.000178001821041107,0.000969000160694122,0.00245100073516369,0.00435800105333328,0.0103480014950037,0.0132310017943382,296.160003662109,4.48001098632813,-2.34999084472656,-8.01998901367188,-9.76998901367188,-7.5,432.800048828125,2.98001098632812,-0.319992065429687,-3.96998596191406,-8.53999328613281,-10.3199920654297,27.599853515625,169.599853515625,1.033,1
11/2/1964,-0.799,-0.016,1.454,-1.457,-0.632,0.44,257.78,0.758,0.758,-0.011,85.149,0.107,0.663,0.269,258.02,0.47,-0.072,0.098,4.21,-0.143,293.97998046875,266.350006103516,281.5,285.630004882813,288.179992675781,379.099853515625,101495,9657,5846,1518,35.5,96.260009765625,88.7599945068359,0.00011100247502327,0.000504001975059509,0.00161200203001499,0.00591500103473663,0.0101850014179945,0.0112600009888411,294.830017089844,1.8800048828125,-3.63998413085937,-10.4699859619141,-11.739990234375,-8.739990234375,431.300048828125,-0.169998168945313,-1.31999206542969,-2.91999816894531,-9.83999633789063,-10.6900024414063,26.300048828125,153.800048828125,0.687,1
11/3/1964,-0.273,-0.056,0.811,-1.011,-0.242,0.186,262.369,0.526,0.526,-0.687,69.807,0.053,0.388,-0.021,267.253,0.206,0.126,-0.026,3.759,0.163,294.959991455078,267.460021972656,282.160003662109,286.559997558594,289.630004882813,384.099853515625,101465,9679,5860,1521,24,89.010009765625,85.7599945068359,0.000159002840518951,0.000478003174066544,0.00119500234723091,0.00512600131332874,0.0100580006837845,0.01184500195086,295.75,1.41000366210938,-2.8699951171875,-7.26998901367188,-10.1399841308594,-8.14999389648438,432.300048828125,0.460006713867188,0.550003051757813,0.680007934570313,-4.01998901367188,-5.99000549316406,28.599853515625,168.099853515625,0,-1
11/4/1964,-0.232,-0.492,0.673,-0.85,-0.649,0.16,253.149,0.734,0.734,-0.585,82.147,0.123,0.855,0.065,254.579,0.522,0.284,0.323,3.785,0.332,295.580017089844,267.280029296875,282.429992675781,288.429992675781,291.75,390.599853515625,101400,9694,5865,1525,34.5,85.510009765625,92.0099945068359,5.00008463859558e-05,0.000642001628875732,0.0016850009560585,0.00591800175607204,0.0108580011874437,0.0137950014322996,296.580017089844,5.78001403808594,-4.44999694824219,-7.76998901367188,-10.0199890136719,-6.69000244140625,433.599853515625,2.50001525878906,-1.06999206542969,-1.31999206542969,-3.91999816894531,-6.80000305175781,29.800048828125,176.800048828125,0,-1
11/5/1964,-0.735,0.034,1.14,-1.189,-0.79,0.091,253.51,0.919,0.919,-1.395,81.042,0.074,0.533,-0.054,254.579,0.631,0.126,0.231,3.523,-0.029,294.630004882812,268.410003662109,282.429992675781,287.210021972656,290.660003662109,386.800048828125,101460,9701,5865,1524,40,88.510009765625,88.5099945068359,0.000200003385543823,0.000828001648187637,0.00213200226426125,0.00503200106322765,0.0103530008345842,0.0122830010950565,295.809997558594,5.55000305175781,-1.739990234375,-7.06999206542969,-9.6199951171875,-7.38999938964844,432.599853515625,4.66000366210938,-0.969985961914062,-3.46998596191406,-8.21998596191406,-9.56999206542969,26.099853515625,156.800048828125,0.295,-1
11/6/1964,-1.525,0.131,1.063,-1.195,-0.322,-0.086,261.658,0.445,0.445,-0.985,86.392,-0.061,-0.406,-0.266,249.807,0.465,-0.191,0.362,3.333,-0.223,293.700012207031,266.100006103516,282.5,285.210021972656,288.380004882812,384.800048828125,101715,9696,5865,1536,55.260009765625,95.510009765625,87.2599945068359,0.000308003276586533,0.0011730007827282,0.00247800163924694,0.00613300129771233,0.00981500186026096,0.0109100006520748,294.429992675781,9.90000915527344,4.1300048828125,-5.24998474121094,-9.06999206542969,-8.489990234375,430.099853515625,3.8800048828125,-0.019989013671875,-1.6199951171875,-7.21998596191406,-8.05000305175781,17.800048828125,110.800048828125,0.148,-1
11/7/1964,-1.087,0.27,1.35,-1.382,-0.592,-0.259,258.003,0.781,0.781,-0.425,79.58,-0.136,0.098,-0.046,260.117,0.345,-0.349,0.327,5.136,-0.281,293.179992675781,265.660003662109,281.780029296875,283.75,287.480010986328,379.300048828125,101815,9683,5857,1539,66.260009765625,95.760009765625,88.0099945068359,0.000644002109766007,0.00148800201714039,0.00286600179970264,0.0054440014064312,0.00893800146877766,0.0104080010205507,293.72998046875,10.4800109863281,3.11000061035156,-6.16999816894531,-10.0699920654297,-8.19000244140625,429.300048828125,4.16000366210938,0.250015258789062,-2.24998474121094,-7.76998901367188,-9.66999816894531,25.099853515625,147.300048828125,0.021,-1
11/8/1964,-1.302,-0.218,1.797,-1.683,-0.886,0.224,255.346,1.011,1.011,-1.127,76.697,-0.336,0.587,-0.035,257.556,0.615,-0.171,0.744,10.297,-0.085,293.709991455078,265.049987792969,280.080017089844,285.410003662109,289.049987792969,386.599853515625,101668,9659,5842,1534,82.510009765625,97.260009765625,91.5099945068359,0.00038200244307518,0.00202000141143799,0.00340800173580647,0.00718800164759159,0.0101360008120537,0.0117980018258095,294.460021972656,10.4600067138672,1.75001525878906,-9.76998901367188,-12.3199920654297,-9.47000122070313,429.099853515625,5.60000610351563,0.330001831054687,-1.76998901367188,-8.53999328613281,-10.8899993896484,20.099853515625,114.800048828125,0.977,1
11/9/1964,-1.696,-0.142,1.8,-1.631,-1.174,0.003,251.126,1.317,1.317,-0.854,74.579,-0.325,0.833,-0.324,256.697,0.791,-0.25,0.686,2.473,-0.219,293.380004882812,264.600006103516,280.400024414062,285.230010986328,288.179992675781,385.099853515625,101565,9649,5828,1521,91.260009765625,96.010009765625,92.0099945068359,0.000176999717950821,0.00180700235068798,0.00364400073885918,0.00734000094234943,0.00988800078630447,0.011233001947403,294,10.6800079345703,1.03001403808594,-10.0199890136719,-12.5199890136719,-7.80000305175781,428.099853515625,5.43000793457031,-0.669998168945313,-3.46998596191406,-10.4199981689453,-12.5699920654297,16.300048828125,93.599853515625,0.317,-1
11/10/1964,-1.408,-0.001,1.345,-1.327,-0.903,-0.122,252.765,1.258,1.258,-0.765,82.542,-0.25,-0.003,-0.208,236.494,0.983,-0.329,0.307,5.881,-0.376,292.709991455078,264.460021972656,280.179992675781,283.480010986328,287.100006103516,382.099853515625,101623,9651,5816,1521,70.010009765625,94.010009765625,88.0099945068359,0.000231999903917313,0.00109000131487846,0.00276500172913074,0.00609500147402287,0.00862300209701061,0.0101780015975237,293.679992675781,15.3300018310547,2.93000793457031,-7.38998413085938,-10.4399871826172,-7.91999816894531,427.099853515625,2.80000305175781,-1.28999328613281,-4.56999206542969,-10.8199920654297,-10.1199951171875,18.099853515625,104.599853515625,0.087,-1
